Date,Open,High,Low,Close,Adj Close,Volume
2004-08-13,82.540001,83.940002,82.510002,83.910004,54.915310,5801900
2004-08-16,83.699997,84.559998,83.510002,84.019997,54.987316,4361500
2004-08-17,84.099998,84.540001,83.660004,84.040001,55.000393,3559400
2004-08-18,83.599998,85.129997,83.570000,85.129997,55.713772,4397500
2004-08-19,84.750000,85.349998,84.449997,84.889999,55.556698,4704500
2004-08-20,84.519997,85.250000,84.519997,85.250000,55.792255,4501400
2004-08-23,85.230003,85.449997,84.650002,84.650002,55.399601,4260600
2004-08-24,85.000000,85.150002,84.349998,84.709999,55.438900,2710400
2004-08-25,85.000000,85.269997,84.550003,85.070000,55.674500,4405600
2004-08-26,85.000000,85.040001,84.690002,84.690002,55.425812,3134400
2004-08-27,84.650002,84.949997,84.589996,84.940002,55.589424,2444800
2004-08-30,84.570000,84.989998,84.389999,84.400002,55.236023,2277900
2004-08-31,84.550003,84.690002,83.650002,84.690002,55.425812,3399500
2004-09-01,84.050003,85.089996,84.010002,84.220001,55.118191,4748500
2004-09-02,84.220001,84.779999,83.849998,84.570000,55.347279,3380400
2004-09-03,84.300003,84.690002,83.959999,84.389999,55.229462,3479800
2004-09-07,84.699997,85.440002,84.599998,84.970001,55.609039,4002800
2004-09-08,84.900002,86.510002,84.879997,85.860001,56.191490,5721200
2004-09-09,85.860001,86.790001,85.860001,86.440002,56.571098,4517400
2004-09-10,86.430000,87.000000,86.250000,86.760002,56.780525,3753500
2004-09-13,87.000000,87.279999,86.080002,86.489998,56.603794,4801400
2004-09-14,86.599998,86.879997,86.150002,86.720001,56.754349,3953500
2004-09-15,85.940002,86.500000,85.889999,86.370003,56.525288,4631200
2004-09-16,86.199997,86.959999,85.930000,86.120003,56.361683,3623000
2004-09-17,86.400002,86.500000,85.440002,85.739998,56.112999,6198700
2004-09-20,85.400002,86.430000,85.400002,85.699997,56.086784,4380400
2004-09-21,85.699997,86.110001,85.339996,85.720001,56.099892,4049700
2004-09-22,85.349998,85.440002,84.169998,84.309998,55.177109,5037100
2004-09-23,84.040001,84.269997,83.239998,83.879997,54.895679,4801200
2004-09-24,83.800003,84.739998,83.779999,84.430000,55.255653,4899500
2004-09-27,84.099998,84.440002,83.980003,84.160004,55.078930,4650300
2004-09-28,84.349998,84.650002,83.879997,84.480003,55.288353,3874200
2004-09-29,84.480003,84.980003,84.150002,84.980003,55.615589,4204500
2004-09-30,85.139999,85.980003,85.010002,85.739998,56.112999,5198000
2004-10-01,85.949997,86.980003,85.879997,86.720001,56.754349,4538000
2004-10-04,87.000000,88.099998,86.720001,87.160004,57.042324,5001400
2004-10-05,87.949997,88.029999,87.129997,87.320000,57.147011,5150700
2004-10-06,87.139999,88.099998,87.099998,88.040001,57.618229,3984400
2004-10-07,88.040001,88.099998,87.400002,87.419998,57.212463,3076900
2004-10-08,87.430000,87.910004,86.510002,86.709999,56.747807,4090000
2004-10-11,86.769997,87.199997,86.269997,86.629997,56.695412,3016300
2004-10-12,86.019997,86.199997,85.580002,86.000000,56.283138,4626600
2004-10-13,86.260002,86.480003,84.430000,84.980003,55.615589,6651400
2004-10-14,84.750000,84.980003,84.300003,84.779999,55.484699,4233700
2004-10-15,84.779999,85.250000,84.599998,84.849998,55.530487,5928500
2004-10-18,84.300003,86.150002,84.290001,85.919998,56.230770,7182600
2004-10-19,88.199997,89.730003,88.000000,89.370003,58.488651,13692200
2004-10-20,88.449997,89.190002,88.290001,88.820000,58.128681,6926800
2004-10-21,88.400002,88.760002,87.660004,88.099998,57.657494,6137500
2004-10-22,88.220001,88.449997,87.290001,87.389999,57.192822,5988700
2004-10-25,87.360001,88.900002,87.309998,88.430000,57.873466,5774500
2004-10-26,88.330002,89.570000,88.250000,89.000000,58.246525,7335800
2004-10-27,88.580002,90.269997,88.500000,90.000000,58.900940,6035100
2004-10-28,89.800003,90.239998,89.430000,89.500000,58.573738,4226500
2004-10-29,89.400002,89.900002,88.949997,89.750000,58.737350,4518500
2004-11-01,89.330002,90.599998,89.230003,90.110001,58.972942,5160600
2004-11-02,89.550003,91.220001,89.500000,90.470001,59.208534,5388700
2004-11-03,91.250000,91.900002,90.970001,91.199997,59.686325,6553300
2004-11-04,91.050003,92.699997,90.820000,92.379997,60.458561,6951600
2004-11-05,92.400002,93.519997,92.400002,93.279999,61.047573,6708400
2004-11-08,92.500000,93.699997,92.500000,93.370003,61.224628,4907300
2004-11-09,93.000000,93.949997,93.000000,93.370003,61.224628,4513100
2004-11-10,92.919998,94.300003,92.919998,93.610001,61.381996,6258400
2004-11-11,93.599998,95.220001,93.540001,94.790001,62.155754,7453400
2004-11-12,94.660004,95.500000,94.559998,95.320000,62.503288,4958400
2004-11-15,95.080002,96.000000,94.800003,95.919998,62.896690,4887600
2004-11-16,95.250000,95.500000,94.650002,94.889999,62.221291,5684100
2004-11-17,95.300003,96.629997,95.300003,95.459999,62.595100,6353200
2004-11-18,95.360001,95.699997,95.029999,95.099998,62.358986,4655900
2004-11-19,94.949997,95.160004,94.250000,94.449997,61.932812,5679100
2004-11-22,94.300003,95.400002,94.160004,95.110001,62.365574,5814100
2004-11-23,94.699997,95.370003,94.550003,95.279999,62.477058,5529900
2004-11-24,95.040001,95.790001,95.040001,95.459999,62.595100,3750600
2004-11-26,95.050003,95.379997,94.580002,94.720001,62.109840,2204300
2004-11-29,94.940002,96.379997,94.940002,95.500000,62.621323,5699800
2004-11-30,95.150002,95.650002,94.239998,94.239998,61.795086,5870300
2004-12-01,94.500000,96.070000,94.470001,95.879997,62.870464,5664500
2004-12-02,95.650002,96.779999,95.489998,95.760002,62.791771,5152300
2004-12-03,96.550003,97.629997,96.550003,97.080002,63.657326,7026800
2004-12-06,96.879997,97.900002,96.650002,97.669998,64.044174,5263000
2004-12-07,97.699997,98.250000,95.989998,96.099998,63.014744,6477100
2004-12-08,96.430000,97.349998,95.769997,96.650002,63.375374,5310700
2004-12-09,96.199997,97.599998,95.709999,97.510002,63.939308,5713700
2004-12-10,96.099998,97.989998,96.099998,96.669998,63.388512,4188300
2004-12-13,96.849998,97.199997,96.080002,96.449997,63.244255,4799500
2004-12-14,96.300003,97.699997,96.290001,97.309998,63.808144,4493200
2004-12-15,96.919998,97.699997,96.809998,97.330002,63.821251,3914500
2004-12-16,96.800003,98.150002,96.800003,97.449997,63.899948,5660100
2004-12-17,97.000000,98.000000,96.199997,96.199997,63.080280,8853100
2004-12-20,96.349998,97.570000,96.349998,96.550003,63.309788,4769900
2004-12-21,96.589996,97.150002,96.510002,97.019997,63.617973,4841800
2004-12-22,97.349998,97.980003,97.290001,97.610001,64.004868,4950100
2004-12-23,97.500000,98.000000,97.500000,97.720001,64.077003,3590600
2004-12-27,97.690002,97.970001,97.379997,97.500000,63.932781,3262900
2004-12-28,97.400002,98.550003,97.370003,98.300003,64.457298,4336400
2004-12-29,97.809998,98.470001,97.800003,98.180000,64.378609,3296300
2004-12-30,98.099998,99.000000,98.070000,98.300003,64.457298,3812400
2004-12-31,98.599998,98.910004,98.489998,98.580002,64.640923,2793200
2005-01-03,98.970001,99.099998,97.250000,97.750000,64.096657,5295200
2005-01-04,97.739998,98.419998,96.519997,96.699997,63.408169,5711000
2005-01-05,96.599998,97.830002,96.400002,96.500000,63.277035,5646700
2005-01-06,96.540001,96.980003,96.050003,96.199997,63.080280,4561700
2005-01-07,96.500000,96.800003,95.470001,95.779999,62.804897,6200700
2005-01-10,95.779999,96.089996,95.239998,95.680000,62.739300,4625100
2005-01-11,95.680000,95.790001,94.709999,95.000000,62.293438,4746400
2005-01-12,95.000000,95.279999,94.059998,95.209999,62.431129,5828600
2005-01-13,95.389999,96.199997,93.699997,94.449997,61.932812,5339400
2005-01-14,94.010002,94.250000,93.550003,94.099998,61.703293,5520800
2005-01-18,93.650002,95.339996,93.620003,94.900002,62.227871,8492100
2005-01-19,94.949997,95.150002,92.930000,93.099998,61.047581,7352700
